English word,French word,Frequency
taught,enseigné,0
teach,enseigner,0
tears,larmes,0
tedious,fastidieux,0
teeth,les dents,0
tells,raconte,0
tempest,tempête,0
tender,soumissionner,0
terms,termes,0
thank,remercier,0
their,leur,1
themselves,se,0
there,Là,0
therefore,par conséquent,0
therein,la bride,0
these,celles-ci,0
thief,voleur,0
thing,chose,0
think,pense,0
third,troisième,0
thomas,Thomas,0
those,ceux,0
though,bien que,0
thought,pensée,0
thrive,prospérer,0
throat,gorge,0
throne,trône,0
through,par,0
throw,jeter,0
thrust,poussée,0
thunder,tonnerre,0
times,fois,0
title,Titre,0
together,ensemble,0
tongue,langue,0
tonight,ce soir,0
touch,toucher,0
toward,vers,0
tower,la tour,0
train,train,0
traitor,traitre,0
tread,bande de roulement,0
treason,trahison,0
treasure,Trésor,0
trial,procès,0
tribunes,tribunes,0
trick,tour,0
triumph,triomphe,0
trouble,difficulté,0
truly,vraiment,0
trumpet,trompette,0
trust,confiance,0
truth,vérité,0
turns,se tourne,0
twice,deux fois,0
tyrant,tyran,0
ulysses,Ulysse,0
uncle,oncle,0
under,sous,0
understand,comprendre,0
undertake,entreprendre,0
undone,défait,0
unhappy,malheureux,0
unknown,inconnue,0
unless,sauf si,0
until,jusqu'à,0
unworthy,indigne,0
utter,prononcer,0
valentine,Valentin,0
valiant,vaillant,0
valour,valeur,0
vantage,avantage,0
vengeance,vengeance,0
venice,venise,0
version,version,0
victory,la victoire,0
villain,scélérat,0
viola,alto,0
violent,violent,0
virtue,vertu,0
visit,visite,0
voice,voix,0
walls,des murs,0
warlike,guerrier,0
warrant,mandat,0
waste,déchets,0
watch,regarder,0
water,eau,0
wealth,richesse,0
weapons,armes,0
weary,se lasser,0
weeds,mauvaises herbes,0
weeping,larmes,0
weight,poids,0
welcome,Bienvenue,0
wench,jeune fille,0
whence,d'où,0
where,où,0
wherein,où,0
whether,qu'il s'agisse,0
which,lequel,0
while,tandis que,0
whither,où,0
whole,entier,0
whore,putain,0
whose,dont,0
widow,veuve,0
willing,prêt,0
window,la fenêtre,0
wings,ailes,0
winter,hiver,0
wisdom,sagesse,0
witch,sorcière,0
withal,avec,0
within,dans,0
without,sans pour autant,0
witness,témoin,0
wives,épouses,0
wolsey,Wolsey,0
woman,femme,0
wonder,merveille,0
works,travaux,0
world,monde,0
worse,pire,0
worship,culte,0
worth,vaut,0
would,aurait,0
wound,blessure,0
wounded,blessés,0
wrath,colère,0
wretch,misérable,0
write,écrire,0
written,écrit,0
wrong,faux,0
wrought,forgé,0
yield,rendement,0
yonder,là-bas,0
young,Jeune,0
yours,le tiens,0
yourself,toi même,0
youth,jeunesse,0
